index,target
1_1,0.08509172195712418
1_2,0.06356722715495382
1_3,0.08395680155883019
1_4,0.09792059035447996
1_5,0.13419721499362403
2_1,2.54705967094042
2_2,2.545997167088603
2_3,2.4087379174832053
2_4,2.4190255486172227
2_5,2.539564957424382
3_1,2.2917883943242225
3_2,2.327535385728204
3_3,2.3080198467126323
3_4,2.2971437914500727
3_5,2.3092995747511402
4_1,2.449368323364232
4_2,2.4551948983011487
4_3,2.439583649260672
4_4,2.434734113783714
4_5,2.4474340248181434
5_1,4.950957089389655e-09
5_2,4.6035214789418964e-09
5_3,7.99101837965307e-09
5_4,6.992141102291492e-09
5_5,3.93036507934115e-09
6_1,2.336406286884974
6_2,2.3910983311118095
6_3,2.3469397549300424
6_4,2.3038904443316683
6_5,2.2924178484483475
7_1,2.0305590207293984
7_2,2.0493550079460894
7_3,2.119941188668512
7_4,2.0010241275643557
7_5,2.0985334771550255
8_1,2.4927839712557467
8_2,2.577819598198266
8_3,2.4155495165821828
8_4,2.5110288303455017
8_5,2.4313961243469886
9_1,2.5715716575544803
9_2,2.823548147733593
9_3,2.7399585534324493
9_4,2.6849256707519666
9_5,2.7190656229483365
10_1,5.622193641337946
10_2,5.679654257023629
10_3,5.708022351865795
10_4,5.763907095420849
10_5,5.667711563536403
11_1,2.3614343506089397
11_2,2.365874719319391
11_3,2.4177479943382862
11_4,2.358897894206614
11_5,2.4564484116541223
12_1,5.8558448727577534
12_2,5.762427799197725
12_3,5.60745123333382
12_4,5.654919249644406
12_5,5.735525343734517
13_1,2.3885381660864806
13_2,2.359277421170838
13_3,2.3876154140145696
13_4,2.4611864308718983
13_5,2.468176840810838
14_1,0.3743512029418616
14_2,0.4983678866448608
14_3,0.5006763127195147
14_4,0.5419569819362352
14_5,0.3609442494984592
15_1,2.4320635063235545
15_2,2.4644173822252697
15_3,2.4552079757931526
15_4,2.4614931868111802
15_5,2.4596744326358495
16_1,1.4810512944696392
16_2,1.4668214744725836
16_3,1.4840562482579533
16_4,1.4657971011799427
16_5,1.4654117154361788
17_1,0.5922709195082339
17_2,0.6077524632518644
17_3,0.5564273392656056
17_4,0.6408115890267969
17_5,0.6024515798374921
18_1,1.173650529018236
18_2,1.1487513450849915
18_3,1.0863703278602286
18_4,1.2015467400741862
18_5,1.098873706926309
19_1,0.9528159890924576
19_2,0.9493735732480911
19_3,0.9500836435821384
19_4,0.9403758553209903
19_5,0.9251924777948465
20_1,0.647030467966056
20_2,0.6460653393177891
20_3,0.6448438405564504
20_4,0.6541075769580244
20_5,0.6318576447270512
21_1,0.976396553288894
21_2,0.6534472927667648
21_3,0.6390986860631246
21_4,0.8531788385365618
21_5,0.6270017428727831
22_1,1.1964350340683092
22_2,1.4265626222284378
22_3,1.1130757610313595
22_4,0.8700314083285322
22_5,0.9207707881416
23_1,0.6397754406089953
23_2,0.6464447945790494
23_3,0.6256668662477521
23_4,0.6202359735974928
23_5,0.6354975616232935
24_1,2.4796869715604735
24_2,2.493385890658227
24_3,2.4883740113941726
24_4,2.495041029064484
24_5,2.4638398802828103
