,mutation_base,mutation_reference,mutation_n_comps,use_archive,crossover,adaptation_method,lpsr
61,rand,pbest,1,False,bin,,False
62,rand,pbest,1,False,bin,shade,True
63,rand,pbest,1,False,bin,shade,False
64,rand,pbest,1,False,bin,jDE,True
65,rand,pbest,1,False,bin,jDE,False
66,rand,pbest,1,False,exp,,True
67,rand,pbest,1,False,exp,,False
68,rand,pbest,1,False,exp,shade,True
69,rand,pbest,1,False,exp,shade,False
70,rand,pbest,1,False,exp,jDE,True
71,rand,pbest,1,False,exp,jDE,False
72,rand,pbest,2,True,bin,,True
73,rand,pbest,2,True,bin,,False
74,rand,pbest,2,True,bin,shade,True
75,rand,pbest,2,True,bin,shade,False
76,rand,pbest,2,True,bin,jDE,True
77,rand,pbest,2,True,bin,jDE,False
78,rand,pbest,2,True,exp,,True
79,rand,pbest,2,True,exp,,False
80,rand,pbest,2,True,exp,shade,True
81,rand,pbest,2,True,exp,shade,False
82,rand,pbest,2,True,exp,jDE,True
83,rand,pbest,2,True,exp,jDE,False
84,rand,pbest,2,False,bin,,True
85,rand,pbest,2,False,bin,,False
86,rand,pbest,2,False,bin,shade,True
87,rand,pbest,2,False,bin,shade,False
88,rand,pbest,2,False,bin,jDE,True
89,rand,pbest,2,False,bin,jDE,False
90,rand,pbest,2,False,exp,,True
91,rand,pbest,2,False,exp,,False
92,rand,pbest,2,False,exp,shade,True
93,rand,pbest,2,False,exp,shade,False
94,rand,pbest,2,False,exp,jDE,True
95,rand,pbest,2,False,exp,jDE,False
96,rand,best,1,True,bin,,True
97,rand,best,1,True,bin,,False
98,rand,best,1,True,bin,shade,True
99,rand,best,1,True,bin,shade,False
100,rand,best,1,True,bin,jDE,True
101,rand,best,1,True,bin,jDE,False
102,rand,best,1,True,exp,,True
103,rand,best,1,True,exp,,False
104,rand,best,1,True,exp,shade,True
105,rand,best,1,True,exp,shade,False
106,rand,best,1,True,exp,jDE,True
107,rand,best,1,True,exp,jDE,False
108,rand,best,1,False,bin,,True
109,rand,best,1,False,bin,,False
110,rand,best,1,False,bin,shade,True
111,rand,best,1,False,bin,shade,False
112,rand,best,1,False,bin,jDE,True
113,rand,best,1,False,bin,jDE,False
114,rand,best,1,False,exp,,True
115,rand,best,1,False,exp,,False
116,rand,best,1,False,exp,shade,True
117,rand,best,1,False,exp,shade,False
118,rand,best,1,False,exp,jDE,True
119,rand,best,1,False,exp,jDE,False
120,rand,best,2,True,bin,,True
121,rand,best,2,True,bin,,False
122,rand,best,2,True,bin,shade,True
123,rand,best,2,True,bin,shade,False
124,rand,best,2,True,bin,jDE,True
125,rand,best,2,True,bin,jDE,False
126,rand,best,2,True,exp,,True
127,rand,best,2,True,exp,,False
128,rand,best,2,True,exp,shade,True
129,rand,best,2,True,exp,shade,False
130,rand,best,2,True,exp,jDE,True
131,rand,best,2,True,exp,jDE,False
132,rand,best,2,False,bin,,True
133,rand,best,2,False,bin,,False
134,rand,best,2,False,bin,shade,True
135,rand,best,2,False,bin,shade,False
136,rand,best,2,False,bin,jDE,True
137,rand,best,2,False,bin,jDE,False
138,rand,best,2,False,exp,,True
139,rand,best,2,False,exp,,False
140,rand,best,2,False,exp,shade,True
141,rand,best,2,False,exp,shade,False
142,rand,best,2,False,exp,jDE,True
143,rand,best,2,False,exp,jDE,False
144,rand,rand,1,True,bin,,True
145,rand,rand,1,True,bin,,False
146,rand,rand,1,True,bin,shade,True
147,rand,rand,1,True,bin,shade,False
148,rand,rand,1,True,bin,jDE,True
149,rand,rand,1,True,bin,jDE,False
150,rand,rand,1,True,exp,,True
151,rand,rand,1,True,exp,,False
152,rand,rand,1,True,exp,shade,True
153,rand,rand,1,True,exp,shade,False
154,rand,rand,1,True,exp,jDE,True
155,rand,rand,1,True,exp,jDE,False
156,rand,rand,1,False,bin,,True
157,rand,rand,1,False,bin,,False
158,rand,rand,1,False,bin,shade,True
159,rand,rand,1,False,bin,shade,False
160,rand,rand,1,False,bin,jDE,True
161,rand,rand,1,False,bin,jDE,False
162,rand,rand,1,False,exp,,True
163,rand,rand,1,False,exp,,False
164,rand,rand,1,False,exp,shade,True
165,rand,rand,1,False,exp,shade,False
166,rand,rand,1,False,exp,jDE,True
167,rand,rand,1,False,exp,jDE,False
168,rand,rand,2,True,bin,,True
169,rand,rand,2,True,bin,,False
170,rand,rand,2,True,bin,shade,True
171,rand,rand,2,True,bin,shade,False
172,rand,rand,2,True,bin,jDE,True
173,rand,rand,2,True,bin,jDE,False
174,rand,rand,2,True,exp,,True
175,rand,rand,2,True,exp,,False
176,rand,rand,2,True,exp,shade,True
177,rand,rand,2,True,exp,shade,False
178,rand,rand,2,True,exp,jDE,True
179,rand,rand,2,True,exp,jDE,False
180,rand,rand,2,False,bin,,True
181,rand,rand,2,False,bin,,False
182,rand,rand,2,False,bin,shade,True
183,rand,rand,2,False,bin,shade,False
184,rand,rand,2,False,bin,jDE,True
185,rand,rand,2,False,bin,jDE,False
186,rand,rand,2,False,exp,,True
187,rand,rand,2,False,exp,,False
188,rand,rand,2,False,exp,shade,True
189,rand,rand,2,False,exp,shade,False
190,rand,rand,2,False,exp,jDE,True
191,rand,rand,2,False,exp,jDE,False
192,best,,1,True,bin,,True
193,best,,1,True,bin,,False
194,best,,1,True,bin,shade,True
195,best,,1,True,bin,shade,False
196,best,,1,True,bin,jDE,True
197,best,,1,True,bin,jDE,False
198,best,,1,True,exp,,True
199,best,,1,True,exp,,False
200,best,,1,True,exp,shade,True
201,best,,1,True,exp,shade,False
202,best,,1,True,exp,jDE,True
203,best,,1,True,exp,jDE,False
204,best,,1,False,bin,,True
205,best,,1,False,bin,,False
206,best,,1,False,bin,shade,True
207,best,,1,False,bin,shade,False
208,best,,1,False,bin,jDE,True
209,best,,1,False,bin,jDE,False
210,best,,1,False,exp,,True
211,best,,1,False,exp,,False
212,best,,1,False,exp,shade,True
213,best,,1,False,exp,shade,False
214,best,,1,False,exp,jDE,True
215,best,,1,False,exp,jDE,False
216,best,,2,True,bin,,True
217,best,,2,True,bin,,False
218,best,,2,True,bin,shade,True
219,best,,2,True,bin,shade,False
220,best,,2,True,bin,jDE,True
221,best,,2,True,bin,jDE,False
222,best,,2,True,exp,,True
223,best,,2,True,exp,,False
224,best,,2,True,exp,shade,True
