,target
1_1,0.014242441799999998
1_2,0.02753700035
1_3,0.019377766249999998
1_4,0.0231224116
1_5,0.0164298355
2_1,113690.158430413
2_2,94282.20084195805
2_3,93834.84689111645
2_4,91085.8221113429
2_5,109153.17183819575
3_1,235.71298138055
3_2,238.849603381
3_3,229.5026228201
3_4,237.18430853529998
3_5,227.44614876735
4_1,267.22701388595
4_2,270.98607248409996
4_3,270.92254978849996
4_4,294.71201997085
4_5,269.2245781119
5_1,16.4513674173
5_2,33.65643702055
5_3,24.53206633105
5_4,20.808673875300002
5_5,28.31371098735
6_1,82.0059112453
6_2,94.26344709275
6_3,88.74208148925
6_4,75.66273797720001
6_5,55.793114895049996
7_1,15.1184180294
7_2,14.5685024006
7_3,16.138049759
7_4,13.597886886200001
7_5,15.74873779735
8_1,49.13623913625
8_2,65.3311943118
8_3,35.110684048050004
8_4,35.40850685515
8_5,38.17342951675
9_1,35.408159508699995
9_2,32.45181704215
9_3,32.4732024284
9_4,32.88758682875
9_5,32.7292376521
10_1,89568.2009961745
10_2,76054.91119887275
10_3,76290.15533438351
10_4,97698.9427268185
10_5,101553.4847209056
11_1,278.9181979118
11_2,302.58231720164997
11_3,306.59604922725
11_4,275.05567679155
11_5,301.1408828804
12_1,15406.804432884
12_2,28640.9002620428
12_3,27977.1226254381
12_4,27604.8013572681
12_5,25809.44575683625
13_1,58.245912516800004
13_2,64.1331599733
13_3,62.2461656774
13_4,59.262332524499996
13_5,69.32863015295
14_1,0.08913293745
14_2,0.09993146580000001
14_3,0.09008101885
14_4,0.10383471920000001
14_5,0.09260472975
15_1,238.6267816075
15_2,250.7183844128
15_3,243.87360613319998
15_4,240.03092818875
15_5,244.02512026385
16_1,24.2433465308
16_2,24.1108479027
16_3,25.973890205750003
16_4,22.3821785694
16_5,22.459019138149998
17_1,0.7004402071
17_2,0.77123823095
17_3,0.68143248275
17_4,0.5260388143500001
17_5,0.58671841335
18_1,3.8154906164
18_2,3.43869983545
18_3,2.6971971686
18_4,3.1304119524000003
18_5,2.99752697245
19_1,6.783425573600001
19_2,6.86016674895
19_3,6.7667511379
19_4,6.7511493552
19_5,6.7841114439
20_1,3.03853586665
20_2,3.13165032095
20_3,2.9724233788000003
20_4,3.0350466536500003
20_5,2.9369093899000003
21_1,4.7886559783500005
21_2,2.6501242942000003
21_3,7.034580646249999
21_4,3.71169053915
21_5,25.71975238875
22_1,14.6058278557
22_2,4.8647177953
22_3,8.22574223615
22_4,9.8471986433
22_5,7.28784247295
23_1,4.16825196935
23_2,4.75740401595
23_3,4.288190108
23_4,4.75733620715
23_5,4.52441699085
24_1,251.46706230845
24_2,266.5758152003
24_3,256.68505414765
24_4,263.91124488275
24_5,261.2422508592
