,target
1_1,8e-10
1_2,9e-10
1_3,7e-10
1_4,1e-09
1_5,9e-10
2_1,604.8215778401
2_2,573.4979267488
2_3,526.862831667
2_4,960.9120205123
2_5,328.0296258057
3_1,86.5765445913
3_2,113.4246369941
3_3,127.2265554048
3_4,110.4397242906
3_5,164.1670222769
4_1,186.0562482088
4_2,186.0562758544
4_3,167.1520974795
4_4,240.7769422308
4_5,253.7128213642
5_1,0.0
5_2,0.0
5_3,0.0
5_4,10.8263673387
5_5,0.0
6_1,2.7925723174
6_2,0.0257535699
6_3,0.1163584921
6_4,0.0781751889
6_5,0.0446572138
7_1,22.7220266694
7_2,13.9295441158
7_3,28.80414258575
7_4,27.095643507749998
7_5,52.3872851399
8_1,23.3446190698
8_2,24.3300652982
8_3,24.3403755179
8_4,24.9879810141
8_5,19.8729295265
9_1,26.510236846
9_2,29.3500441379
9_3,22.5642715179
9_4,28.1236422444
9_5,25.8163013525
10_1,634.3553975184
10_2,506.4757820123
10_3,916.8320287935
10_4,434.633428056
10_5,246.1234570661
11_1,9.6772411302
11_2,8.8121359496
11_3,15.9588118616
11_4,24.0744217327
11_5,8.2861406299
12_1,57.3291581319
12_2,23.4532615425
12_3,5.6908978573
12_4,39.6724066099
12_5,45.3522575586
13_1,1.4280544555
13_2,8.1985814361
13_3,1.1254336175
13_4,7.6262506795
13_5,0.1452262716
14_1,5.37977e-05
14_2,8.09219e-05
14_3,6.23846e-05
14_4,9.333e-05
14_5,2.46134e-05
15_1,66.6620901676
15_2,81.5865485853
15_3,162.2061768789
15_4,234.7473289064
15_5,93.5259144513
16_1,8.03110326895
16_2,33.1007540022
16_3,8.7853694501
16_4,12.1596794229
16_5,3.98792095015
17_1,1.8522544047
17_2,4.1232420883
17_3,1.7191340817
17_4,3.144300731
17_5,1.036287367
18_1,3.1314341073
18_2,3.1945124726
18_3,17.2226773484
18_4,8.8803562465
18_5,4.6312091447
19_1,5.9259389168
19_2,6.5536527965
19_3,6.1331759371
19_4,6.62289625525
19_5,6.5633002698
20_1,2.1190357744
20_2,1.4938952107
20_3,2.10917181555
20_4,1.8228706208
20_5,2.2110523699
21_1,1.2452555353
21_2,6.2493150158
21_3,3.1698055873
21_4,1.5630098573
21_5,15.6822830352
22_1,14.584841529
22_2,30.0822113336
22_3,2.5905477301
22_4,1.9549988595
22_5,8.7427505321
23_1,3.86691073025
23_2,4.01789407565
23_3,4.204972605049999
23_4,4.160620817050001
23_5,4.04324568115
24_1,299.3659134821
24_2,293.6657002838
24_3,116.6403328476
24_4,303.93479294065
24_5,85.0426359962
