,target
1_1,1e-09
1_2,9e-10
1_3,9e-10
1_4,9e-10
1_5,9e-10
2_1,8.5183501586
2_2,7.3962635471
2_3,18.7475166995
2_4,5.5405853446
2_5,10.1398707475
3_1,144.26829070065
3_2,188.70882027254999
3_3,142.2783334153
3_4,148.2480440008
3_5,128.3492485722
4_1,236.8223247427
4_2,237.29528962695
4_3,254.7075659727
4_4,353.2062663938
4_5,168.1468128911
5_1,9.10271860035
5_2,0.0
5_3,0.17954780245
5_4,0.0
5_5,12.6896100317
6_1,0.0246690399
6_2,0.0175747912
6_3,0.0056716858
6_4,0.000675784
6_5,0.0024805476
7_1,30.26231468825
7_2,17.98924007975
7_3,34.0263350326
7_4,24.9531404393
7_5,25.498001585449998
8_1,12.0985128665
8_2,16.6371027237
8_3,14.8155388717
8_4,13.9031555137
8_5,14.5570222149
9_1,1.08424757
9_2,11.7162573036
9_3,19.4344885977
9_4,13.8459756773
9_5,13.4228462145
10_1,5.2008973347
10_2,27.202830715
10_3,17.6669265388
10_4,79.9348627479
10_5,4.5472390352
11_1,0.0002791133
11_2,6.8801e-05
11_3,3.3346e-05
11_4,4.34962e-05
11_5,3.60476e-05
12_1,0.1107312148
12_2,0.2228906195
12_3,1.8754675073
12_4,2.9348381645
12_5,0.0096079344
13_1,1.0614274859
13_2,0.4212535924
13_3,0.357255667
13_4,0.2983997866
13_5,6.6601291278
14_1,3.982e-07
14_2,4.418e-07
14_3,4.871e-07
14_4,6.665e-07
14_5,3.279e-07
15_1,120.3896058344
15_2,100.98790406149999
15_3,140.2885644921
15_4,144.2679061642
15_5,190.034863995
16_1,4.4155830351
16_2,4.8758276198
16_3,2.96018718375
16_4,5.1996258271
16_5,4.9905673149
17_1,5.32645712325
17_2,4.4819128671
17_3,5.502549592099999
17_4,3.0303606838
17_5,3.0750025822
18_1,8.3679518906
18_2,13.4011466129
18_3,15.599122793
18_4,3.6171238641
18_5,20.4855621021
19_1,1.85650087405
19_2,6.09200564585
19_3,6.96955159175
19_4,5.7444037955
19_5,5.0283515415
20_1,1.6520492506
20_2,1.7906962754
20_3,1.4212900275
20_4,1.8031326147
20_5,1.8558295055
21_1,17.1118473223
21_2,1.9993848829
21_3,14.9624942283
21_4,1.5630098573
21_5,2.4729738584
22_1,14.584841529
22_2,30.0822113336
22_3,2.5905477301
22_4,14.584841529
22_5,8.7427505321
23_1,0.8273941911
23_2,1.3759009809
23_3,3.0916999574000004
23_4,2.5026324642
23_5,3.1823897191
24_1,138.9799196042
24_2,199.6509379802
24_3,143.7599472814
24_4,102.9622973151
24_5,132.85872694375
