,target
1_1,9e-10
1_2,7e-10
1_3,8e-10
1_4,1e-09
1_5,9e-10
2_1,1866.4514981664
2_2,1866.2185002136
2_3,3894.6651690335
2_4,5897.3327510469
2_5,2907.7793909093
3_1,98.5007104313
3_2,131.3343712336
3_3,125.3644006474
3_4,169.1412116899
3_5,210.9334620897
4_1,177.1018060646
4_2,83.5764647106
4_3,121.3852434576
4_4,189.0405174416
4_5,265.7450791993
5_1,24.5543007327
5_2,47.4219619508
5_3,26.0144051036
5_4,53.0562113198
5_5,16.1022840038
6_1,2.022585278
6_2,4.3849706234
6_3,0.3821013945
6_4,2.3281051983
6_5,0.2568384704
7_1,18.0643031447
7_2,36.3866287644
7_3,23.7927701445
7_4,17.0121376559
7_5,81.4667685923
8_1,25.634380168
8_2,25.984732685
8_3,29.3369498623
8_4,15.3423132865
8_5,29.0513717227
9_1,26.9857552686
9_2,28.2745142793
9_3,25.1637494225
9_4,28.9855431644
9_5,27.0226714017
10_1,2006.4790070446
10_2,596.895928094
10_3,2319.3806168162
10_4,6997.3401745462
10_5,3244.246391375
11_1,127.9731341796
11_2,119.8911900277
11_3,63.9926388658
11_4,51.9326179621
11_5,56.5001776882
12_1,1.1126057673
12_2,2.7744080444
12_3,0.9176904953
12_4,0.4385675571
12_5,21.7432812577
13_1,4.2222221673
13_2,2.5917988743
13_3,1.0141817034
13_4,8.8314531893
13_5,16.7845275382
14_1,0.0004276148
14_2,0.0005700247
14_3,0.0005365387
14_4,0.0004282686
14_5,0.0003797575
15_1,81.5870376929
15_2,213.9152003508
15_3,100.4930218006
15_4,153.2230628559
15_5,84.51945127670001
16_1,35.7787620779
16_2,8.230982121
16_3,7.5278074827
16_4,16.5720711866
16_5,31.47126998935
17_1,1.9805105306
17_2,2.4098793681
17_3,1.6216637288
17_4,4.4124090669
17_5,2.1955972325
18_1,15.80819769
18_2,20.6536909983
18_3,21.9817392896
18_4,7.6574154434
18_5,8.8055737368
19_1,6.9805302525
19_2,8.61891444965
19_3,7.2845823337999995
19_4,6.98642483195
19_5,6.3398470671
20_1,1.6059077765
20_2,1.533609499
20_3,1.6519810013
20_4,1.8428145863
20_5,1.61255155
21_1,17.1118473223
21_2,1.9993848829
21_3,20.5224378962
21_4,5.2628036692
21_5,2.118634928
22_1,2.5905531428
22_2,30.0822113338
22_3,2.5905477301
22_4,0.6918569112
22_5,8.7427505321
23_1,4.16434744625
23_2,3.8862898519
23_3,4.28053601525
23_4,1.2653257885
23_5,4.19741389665
24_1,242.378628469
24_2,110.8492774244
24_3,271.58432044475
24_4,326.91984218375
24_5,245.95092899859998
