,target
1_1,0.0237246176
1_2,0.032179120150000004
1_3,0.0353753557
1_4,0.03296635215
1_5,0.0285793433
2_1,9207.9979750305
2_2,632.2367058017501
2_3,1307.0567782798498
2_4,1042.272818984
2_5,2934.0679529537
3_1,8.928312385200002
3_2,11.73892184635
3_3,13.96626919935
3_4,14.294616631150001
3_5,16.89124020245
4_1,20.785273999300003
4_2,20.0721007431
4_3,26.04456111295
4_4,15.58456997255
4_5,27.7985187114
5_1,2.0552056114
5_2,0.74096672235
5_3,8.4228059765
5_4,3.2911632
5_5,2.2119696983
6_1,5.57343921585
6_2,4.93048671395
6_3,3.7973602949
6_4,1.6481350562500001
6_5,4.302335229
7_1,1.4189666326500001
7_2,0.9620439262
7_3,1.9728728927999999
7_4,1.4574763492
7_5,0.7337745662499999
8_1,6.2321862216
8_2,29.8408423571
8_3,5.60809643315
8_4,5.3379652322
8_5,5.37625961835
9_1,4.5094588194
9_2,4.99968128095
9_3,4.432265224749999
9_4,4.503195616899999
9_5,3.7164637303
10_1,10434.7394438564
10_2,2285.6357072885003
10_3,1872.3174216096
10_4,11444.060723550101
10_5,4224.87713709485
11_1,16.6365528223
11_2,47.6555578615
11_3,29.8454435805
11_4,37.028605299800006
11_5,21.1160885233
12_1,12305.8037428366
12_2,15791.03035808635
12_3,10352.78415192805
12_4,10229.636365572751
12_5,9970.44836982735
13_1,20.174471213
13_2,19.6315718418
13_3,27.969396619850002
13_4,23.23761731855
13_5,19.303803455249998
14_1,0.0270491635
14_2,0.041390838299999996
14_3,0.0306274485
14_4,0.0434752288
14_5,0.0675696593
15_1,14.14260170665
15_2,14.23141138065
15_3,11.1492782188
15_4,16.4147431155
15_5,11.773904776799998
16_1,5.7387094753
16_2,5.700506895
16_3,7.0450020133999995
16_4,4.8308461993
16_5,8.1080763357
17_1,0.3824075896
17_2,0.18443848665
17_3,0.5114901296
17_4,0.2514315396
17_5,0.2539334642
18_1,1.8079627621999999
18_2,1.0395000126
18_3,2.88149699795
18_4,2.69783042285
18_5,1.3330422756
19_1,1.23859902905
19_2,1.4773218815
19_3,1.1959946264
19_4,1.72548135685
19_5,1.16709915295
20_1,2.3401632919999997
20_2,2.5319820458
20_3,2.1089466987
20_4,2.35303139065
20_5,2.46578880035
21_1,1.3171692663
21_2,2.8774488802000002
21_3,2.34653025675
21_4,1.4987336839999998
21_5,2.1300047254
22_1,1.41293649725
22_2,10.02056443495
22_3,9.9060869041
22_4,7.315567311
22_5,2.66574552965
23_1,2.31876544115
23_2,2.1849675685
23_3,2.304149241
23_4,1.9681509593
23_5,2.6566484487
24_1,17.641135489699998
24_2,21.057150151499997
24_3,20.3070045738
24_4,23.55523787275
24_5,21.18885307705
