,target
1_1,0.20692013
1_2,0.14957175315
1_3,0.1324725458
1_4,0.15622880995
1_5,0.21474627535000002
2_1,6799.027927075151
2_2,3650.3815061472
2_3,8210.3933083887
2_4,7460.6641646494
2_5,1978.3914592503
3_1,96.37318392435
3_2,107.35911071465
3_3,87.40591723445
3_4,97.1122857744
3_5,104.3132138565
4_1,129.4177964283
4_2,138.258837127
4_3,138.5011575139
4_4,139.94912023885
4_5,134.8659975978
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,414.9401735696
6_2,400.44424199624996
6_3,360.97393434745004
6_4,235.75672074955
6_5,266.47946787795
7_1,146.8757762094
7_2,155.39552358035002
7_3,165.40137771795
7_4,146.2607749604
7_5,160.7111937246
8_1,417.13495898345
8_2,326.47023789310003
8_3,304.85282365165
8_4,314.84705812095
8_5,355.58826312505005
9_1,1769.4109072393
9_2,1708.0314841062
9_3,2248.70471313715
9_4,2023.66622584465
9_5,2142.4781689083
10_1,283670.914024919
10_2,269527.9974775565
10_3,265319.2764575625
10_4,276849.24356567196
10_5,247656.016057092
11_1,306.18695524265
11_2,315.7600831689
11_3,326.7104729046
11_4,317.0972165677
11_5,331.4836645315
12_1,2351589.6838706154
12_2,1996148.89678292
12_3,1297337.831470565
12_4,1753826.141358315
12_5,2081235.3493974502
13_1,292.74404928665
13_2,246.5932870997
13_3,262.54388079855
13_4,308.4238170612
13_5,349.977148043
14_1,1.7757697193
14_2,2.11018710955
14_3,3.3730739152
14_4,3.0752018792
14_5,2.3135930457000002
15_1,348.69734731895
15_2,356.5598949052
15_3,356.81759188765
15_4,346.93348891535
15_5,355.37657371834996
16_1,19.5292511006
16_2,21.6710889632
16_3,21.11736837965
16_4,18.40010434845
16_5,20.42451885215
17_1,7.776456737949999
17_2,7.04649438065
17_3,6.27483379365
17_4,7.547079509
17_5,5.7263413641
18_1,26.18767538185
18_2,25.37237071045
18_3,23.11082813455
18_4,23.69365400665
18_5,19.40682414005
19_1,8.7264785333
19_2,9.11221651885
19_3,8.887907296449999
19_4,9.4702721707
19_5,9.26117181015
20_1,2.58921244495
20_2,2.5961299966
20_3,2.6255955794
20_4,2.6270357126999997
20_5,2.5136290314
21_1,8.709014789200001
21_2,8.250010026850001
21_3,8.08198717825
21_4,6.83510297495
21_5,7.2729779384999995
22_1,2.9546002474
22_2,3.00512568065
22_3,2.0544339129
22_4,2.44775422745
22_5,3.7949468711999996
23_1,2.9934460837
23_2,2.8114509242
23_3,3.2741770497
23_4,2.99688054795
23_5,3.0710558826
24_1,392.76069094765
24_2,397.20971551465
24_3,400.72999899995
24_4,387.00462528180003
24_5,385.55330366595
