,target
1_1,0.0
1_2,1.21352256
1_3,0.72192128
1_4,0.0
1_5,0.0
2_1,24.242641302550002
2_2,0.0
2_3,11.18564335315
2_4,14.4460479148
2_5,0.0
3_1,0.0
3_2,8.478981096
3_3,0.0
3_4,3.9798311906
3_5,0.9949590571
4_1,0.9949590571
4_2,0.9949590571
4_3,0.49747952855
4_4,2.98487465235
4_5,0.9949590571
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,0.00025089345
6_2,5.2249999999999995e-08
6_3,0.00105482275
6_4,2.4429278045
6_5,1.3465e-07
7_1,0.0
7_2,0.0702533805
7_3,0.0
7_4,0.105323237
7_5,0.0
8_1,2.6375e-07
8_2,1.5365e-07
8_3,1.5e-10
8_4,2.8000000000000003e-09
8_5,2e-10
9_1,1.7635e-07
9_2,4.635e-08
9_3,1.085e-08
9_4,1.1429e-06
9_5,2.7e-09
10_1,12.06030668815
10_2,121.7416059435
10_3,75.80790386225
10_4,10.98210853
10_5,25.79720525175
11_1,8.938316581199999
11_2,2.2675213172
11_3,0.13134025855
11_4,0.16184385540000001
11_5,0.034253951750000004
12_1,7.8397674385
12_2,4.6857137116
12_3,4.921804616899999
12_4,5.0998570406
12_5,65.1197616948
13_1,0.0325607169
13_2,0.01194545505
13_3,30.5186857532
13_4,0.02593693565
13_5,0.027456317699999996
14_1,3e-07
14_2,3.8549999999999995e-06
14_3,1.32805e-06
14_4,3.2195500000000004e-06
14_5,2.19795e-06
15_1,6.2983749671
15_2,5.3018429324500005
15_3,4.8365866169
15_4,4.3157804634
15_5,4.874277483549999
16_1,1.11006197945
16_2,1.8256048490999999
16_3,0.9822415776
16_4,1.60930848905
16_5,1.05237747585
17_1,0.00236615725
17_2,0.00110249255
17_3,0.0006238868
17_4,0.31759352495000004
17_5,0.004372058999999999
18_1,0.09571764755
18_2,0.11434882255
18_3,0.0475173673
18_4,1.798143858
18_5,0.21793616845
19_1,1.21898481215
19_2,0.79221280575
19_3,0.6819378929
19_4,1.0348381865
19_5,0.9286647005499999
20_1,0.2368766692
20_2,0.35531500385000003
20_3,0.2368766692
20_4,0.1265313817
20_5,0.2368766692
21_1,1.1047027928
21_2,0.9299973893
21_3,1.2941068415
21_4,0.62262776765
21_5,0.6918569112
22_1,1.9549988595
22_2,0.6918569112
22_3,1.1033042685
22_4,0.6918569112
22_5,0.6918569112
23_1,1.17132574725
23_2,1.2456279627
23_3,1.1761281603
23_4,0.9731128436
23_5,1.4091325279
24_1,15.700264021599999
24_2,12.4899983225
24_3,12.44424263615
24_4,13.194837878400001
24_5,12.51764379295
