,target
1_1,2.08210099985
1_2,1.84715177295
1_3,2.6423614019499997
1_4,2.5257973302
1_5,2.2676068597
2_1,8371.699331084601
2_2,9486.1178306888
2_3,12907.7412081188
2_4,7958.886470896799
2_5,6239.08197384915
3_1,41.6215037721
3_2,44.79660617865
3_3,44.7852716007
3_4,29.158803219550002
3_5,44.449486473600004
4_1,56.0437825765
4_2,61.38223102625
4_3,57.5637756068
4_4,51.4051038813
4_5,61.59075186045
5_1,0.0
5_2,0.41687208625
5_3,0.0
5_4,0.086408774
5_5,0.0
6_1,25.622406306800002
6_2,27.163869797049998
6_3,23.1984182714
6_4,45.132026808750005
6_5,24.1430945462
7_1,11.448962663700001
7_2,9.87873077535
7_3,11.30956718845
7_4,7.2949626101
7_5,8.09821186895
8_1,304.02851173345
8_2,388.21957897195
8_3,208.3505055534
8_4,258.34798881385
8_5,260.4664240479
9_1,218.89212264085
9_2,292.21355642804997
9_3,246.72281613680002
9_4,245.68362291505002
9_5,361.40544852690005
10_1,8237.0504295172
10_2,8579.22886396225
10_3,12689.76905980105
10_4,15992.26299630645
10_5,10753.260116401001
11_1,102.42387312825
11_2,116.17480911134999
11_3,131.1760029409
11_4,98.8808015005
11_5,59.4544873711
12_1,746918.3623456196
12_2,1148234.180402565
12_3,1274447.4510376952
12_4,1264160.0784736401
12_5,1436574.54339702
13_1,236.51020506435
13_2,186.28328021645
13_3,211.66401213115
13_4,195.3317799089
13_5,194.6379077505
14_1,1.9007997906499998
14_2,1.67523440165
14_3,1.67356335375
14_4,1.5357263513000001
14_5,1.3446655554
15_1,38.85563392835
15_2,49.2046640106
15_3,41.0284795761
15_4,41.69429885025
15_5,43.276109914299994
16_1,7.079853394900001
16_2,9.580864686550001
16_3,9.4050370382
16_4,9.1024639766
16_5,7.23119407605
17_1,2.87123122705
17_2,2.75829453875
17_3,3.01619518705
17_4,2.77112631445
17_5,3.0590573575000004
18_1,10.210173675650001
18_2,12.91101611955
18_3,10.779278024349999
18_4,8.470253417
18_5,11.3308225971
19_1,4.120676517950001
19_2,4.0385517756
19_3,2.5237652454
19_4,3.3082659216
19_5,3.96772499
20_1,3.43014652885
20_2,3.3676824545499997
20_3,3.5940605328000004
20_4,3.3799744621
20_5,3.2728744588499996
21_1,6.4496038455499995
21_2,6.64467839735
21_3,4.27564699325
21_4,6.8777723777999995
21_5,3.9192882838
22_1,9.59542627035
22_2,9.561330521599999
22_3,3.6632273953
22_4,9.5178438304
22_5,10.15810917675
23_1,2.2416218833
23_2,2.1855100255
23_3,2.1078232163
23_4,2.3449094714000003
23_5,1.94793447055
24_1,41.206400533250005
24_2,37.13655377835
24_3,40.1423899399
24_4,36.201377924650004
24_5,43.008952654
