,target
1_1,105.5607600289
1_2,115.64748777035
1_3,109.4428626463
1_4,112.06290062205
1_5,114.3561380235
2_1,2615570.79138524
2_2,2890317.106388435
2_3,2414385.927224225
2_4,2711763.1115746647
2_5,2146744.25759386
3_1,803.5002811124
3_2,787.2537745889
3_3,774.2975377104999
3_4,815.4538313739499
3_5,732.30880281705
4_1,1197.8910062231998
4_2,1206.3566732394502
4_3,1286.3016067043
4_4,1147.51966777335
4_5,1169.49343147795
5_1,85.2690098564
5_2,93.06114993899999
5_3,74.07605737735
5_4,82.06960837
5_5,86.51422759815
6_1,120099.7391367435
6_2,33235.705100488696
6_3,36934.26448931925
6_4,24237.9269742517
6_5,55613.894897764156
7_1,671.26196666985
7_2,564.90500910675
7_3,473.32777358305
7_4,587.0532424746
7_5,558.29320679925
8_1,124940.204467361
8_2,114409.2416274595
8_3,104794.0042256835
8_4,93080.62539635695
8_5,99399.79404082929
9_1,99321.9487005469
9_2,103876.7998785255
9_3,81027.53757173399
9_4,90283.25395774751
9_5,93718.95502276704
10_1,1586445.58807118
10_2,1569818.58954253
10_3,1497165.311120735
10_4,1471754.214302575
10_5,1393967.9157371898
11_1,319.35391026900004
11_2,338.37316222255
11_3,340.07063593345003
11_4,331.0655208814
11_5,370.40137143455
12_1,170493617.95689452
12_2,177657637.35978848
12_3,178126964.149609
12_4,167351690.9368505
12_5,137151554.602859
13_1,2030.56267769715
13_2,1975.6431698289998
13_3,1893.61594797875
13_4,2006.4438516751
13_5,1966.5099905615
14_1,33.15839148475
14_2,34.7886253877
14_3,31.15991496745
14_4,35.3107837406
14_5,41.51466944415
15_1,833.3025532687
15_2,763.54808020755
15_3,765.70788291745
15_4,779.02455800755
15_5,787.111081221
16_1,32.1993267211
16_2,34.194019644899996
16_3,33.834265947649996
16_4,33.6806016776
16_5,30.64504545595
17_1,11.12354738965
17_2,10.30655340345
17_3,11.065240785850001
17_4,10.47711653615
17_5,11.52598067855
18_1,41.0401049214
18_2,40.8658963598
18_3,42.01651825475
18_4,36.5115288278
18_5,39.59487560425
19_1,16.74856219015
19_2,17.85297708245
19_3,16.4023892079
19_4,16.323491461350002
19_5,18.415534795200003
20_1,39124.40188585675
20_2,47815.5003681862
20_3,44357.140665610554
20_4,38482.54206197565
20_5,46298.48664444625
21_1,75.3665741657
21_2,73.693803992
21_3,75.5561891328
21_4,72.50612190345001
21_5,75.0173793139
22_1,74.2423769286
22_2,75.076480254
22_3,74.62155191775
22_4,76.1320320871
22_5,73.05104187695
23_1,4.07266612615
23_2,3.94422864395
23_3,4.1798526292
23_4,4.2963278842
23_5,4.3441067417
24_1,697.0819206675
24_2,691.92834517915
24_3,697.01861755555
24_4,711.0529607587
24_5,686.82810499885
