,target
1_1,0.0
1_2,1.5629494400000001
1_3,1.175056
1_4,0.0
1_5,0.0
2_1,22574.1423321718
2_2,18392.378824760002
2_3,52160.7583018397
2_4,15499.5478241446
2_5,78905.8741201762
3_1,146.58784730765
3_2,155.17026385505
3_3,145.0356297688
3_4,129.94177012115
3_5,147.96663478485
4_1,179.18064787225
4_2,171.0191253301
4_3,160.75977367669998
4_4,197.1134922032
4_5,158.8908081939
5_1,0.0
5_2,0.0
5_3,5.86051148765
5_4,5.86051148765
5_5,0.0
6_1,221.88957763545
6_2,174.173758171
6_3,314.8969953692
6_4,188.6431232694
6_5,212.5838759162
7_1,38.974987431849996
7_2,23.787008509499998
7_3,19.8702246258
7_4,34.6795710552
7_5,32.0717310108
8_1,17.99416200495
8_2,1558.5301548546
8_3,223.6901074792
8_4,143.28572394175
8_5,20.029499846
9_1,26.30358050585
9_2,25.54397603355
9_3,26.31385716305
9_4,25.548659790899997
9_5,27.4512983217
10_1,80660.188736577
10_2,78188.29311661565
10_3,78231.6082366517
10_4,76996.71941308604
10_5,81819.35276287419
11_1,201.99511974655002
11_2,187.03524118065
11_3,175.78293960955
11_4,165.67679830915
11_5,174.46357209090002
12_1,24.619096634599998
12_2,944862.8683678765
12_3,1151882.6960561648
12_4,2463558.18485488
12_5,60.44738683165
13_1,217.14230350945
13_2,383.89683484520003
13_3,206.11473746195
13_4,79.32422088989999
13_5,241.731517704
14_1,3.1186304806000003
14_2,0.33168552475
14_3,0.9638991527
14_4,0.14877003930000002
14_5,2.3897358969
15_1,248.1054462585
15_2,241.6039617784
15_3,269.1199149513
15_4,245.03725678964997
15_5,242.7052189519
16_1,26.350177008000003
16_2,26.47282288455
16_3,25.56682891475
16_4,25.61756042395
16_5,25.994420152049997
17_1,3.0971887536500002
17_2,2.769436524
17_3,3.3913411502499997
17_4,2.3626345346999997
17_5,2.60320559105
18_1,8.21851752355
18_2,8.5456689166
18_3,6.6703342786
18_4,8.3552882668
18_5,8.133312089
19_1,6.2134505285
19_2,6.47268353285
19_3,6.0638878671
19_4,6.22539582955
19_5,6.00102410725
20_1,2.41664752165
20_2,2.3565780618999996
20_3,2.3460841651499997
20_4,2.3920620593
20_5,2.48251751935
21_1,8.7093551821
21_2,5.0114327293
21_3,7.38681090365
21_4,4.5292925654000005
21_5,7.1962278997
22_1,15.3492382896
22_2,26.5233276129
22_3,11.42371670395
22_4,15.93283391915
22_5,8.060373704049999
23_1,3.0027605993
23_2,3.02178546675
23_3,2.8441480830000003
23_4,3.20186491135
23_5,3.08109061505
24_1,246.2447251759
24_2,255.91398991005
24_3,244.57471452380003
24_4,262.11724972515
24_5,252.8803263511
