,target
1_1,0.0
1_2,0.0
1_3,0.0
1_4,0.0
1_5,0.0
2_1,4.89e-08
2_2,6.329999999999999e-08
2_3,6.23e-08
2_4,1.1315e-07
2_5,5.4e-08
3_1,0.00292194485
3_2,0.00019811935
3_3,0.9950206894
3_4,0.0184038365
3_5,0.0049870559
4_1,1.0005473421
4_2,1.0011007589499998
4_3,1.01189511735
4_4,1.49492857955
4_5,0.99738456465
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,0.00450576335
6_2,0.01774447475
6_3,0.019199108
6_4,1.22383215745
6_5,0.05747199185
7_1,0.067969301
7_2,0.0355331392
7_3,0.0233773658
7_4,0.11469009685
7_5,0.01712007495
8_1,0.69934800245
8_2,0.9778458849
8_3,1.09767300595
8_4,0.822680597
8_5,2.5775698855
9_1,2.1942334688000003
9_2,1.35529567135
9_3,1.73762737575
9_4,1.2168026629500002
9_5,1.77702757105
10_1,411.67032922404996
10_2,223.92306199575
10_3,126.01018584815
10_4,46.8944446027
10_5,579.8932061748
11_1,12.99461825705
11_2,22.6804330158
11_3,6.3712862872
11_4,25.41347443955
11_5,12.67151192395
12_1,63.216974035
12_2,40.34677347025
12_3,16.6048909044
12_4,8.3023084407
12_5,78.37763743325
13_1,1.4180780881000001
13_2,1.16984994035
13_3,3.47761196995
13_4,3.6527475588
13_5,2.0134806115
14_1,0.0002284823
14_2,0.00025162675
14_3,0.00024279095
14_4,0.00065835295
14_5,0.00046614165
15_1,8.02161958485
15_2,9.93890328785
15_3,6.2966123
15_4,6.0432308037
15_5,9.36929787745
16_1,2.5830994841
16_2,3.68440585055
16_3,3.2796732918
16_4,3.01146601445
16_5,3.5236497173999997
17_1,0.20831648905
17_2,0.2360679147
17_3,0.07468534335
17_4,0.2022468758
17_5,0.1212567745
18_1,0.8213351795
18_2,0.7973658163
18_3,0.9053063716
18_4,0.612389523
18_5,0.7119169211
19_1,1.1900759558999998
19_2,1.5667583042
19_3,0.8512856195
19_4,1.2533397072499999
19_5,1.4045436656499999
20_1,0.5364738942
20_2,0.4001962548
20_3,0.41757094485
20_4,0.6212389181
20_5,0.37363271919999996
21_1,1.1185092579
21_2,0.93189039725
21_3,0.3521201818
21_4,1.2941211973
21_5,0.7275662252999999
22_1,0.49483868185
22_2,0.8542993908500001
22_3,0.5288785715
22_4,0.7055704654
22_5,0.69698827745
23_1,1.7551571024000001
23_2,1.86954454095
23_3,1.96471612975
23_4,1.8277807944
23_5,1.5467502347000002
24_1,15.66992308955
24_2,16.38687225495
24_3,18.23199400335
24_4,16.6207356952
24_5,13.5750329008
