,target
1_1,0.00010270200000000001
1_2,7.427685000000001e-05
1_3,0.00011471255
1_4,8.174665e-05
1_5,0.00013616525
2_1,0.22108934665
2_2,1.15074357725
2_3,0.28349305495
2_4,0.12565908035
2_5,0.3345442878
3_1,172.19574091305
3_2,175.1779708639
3_3,164.7129730303
3_4,163.3329707723
3_5,172.054654659
4_1,188.0050904478
4_2,196.24015681384998
4_3,196.6741456188
4_4,204.9722847671
4_5,202.28285167924997
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,216.05009830535
6_2,144.1129396611
6_3,131.78585341320002
6_4,111.58969890419999
6_5,91.0919551451
7_1,72.36551136565001
7_2,66.96116533285
7_3,99.35530714055
7_4,66.5028733286
7_5,104.35826493275
8_1,30.33382953935
8_2,28.3874371728
8_3,29.86824291025
8_4,28.79982013365
8_5,31.555332543600002
9_1,29.65641881735
9_2,29.945767711000002
9_3,29.74857878305
9_4,31.58324310685
9_5,31.1495946326
10_1,552726.0765081064
10_2,731250.3828986535
10_3,661340.539323364
10_4,746890.0918425465
10_5,892329.6595633614
11_1,326.8612221079
11_2,330.59925604005
11_3,363.86850567165
11_4,307.6432914938
11_5,353.99176286684997
12_1,1444.9784342898502
12_2,983.1133215597999
12_3,511.78596715099997
12_4,415.56949180115
12_5,537.7055034058
13_1,45.296777753049994
13_2,34.78776334515
13_3,36.8717496013
13_4,34.9405636563
13_5,42.1237878559
14_1,0.07499809225000001
14_2,0.08590335465
14_3,0.10409798045
14_4,0.0818659952
14_5,0.0805298767
15_1,261.17199247905
15_2,252.11283413055
15_3,264.192572778
15_4,255.90860808460002
15_5,268.8081431196
16_1,30.80487978
16_2,29.66468059165
16_3,29.8698268178
16_4,30.510296830500003
16_5,29.80877812125
17_1,1.89709220675
17_2,1.6692974836999999
17_3,1.5066876983
17_4,2.3174445231
17_5,1.6852554743
18_1,11.2127660386
18_2,10.612275745600002
18_3,7.0053792935
18_4,12.58569570695
18_5,9.723646189450001
19_1,7.02817755715
19_2,6.82214768745
19_3,7.1201553708
19_4,6.8647630756
19_5,6.9342049784
20_1,3.0119458504
20_2,3.0521739326999997
20_3,2.9429574591
20_4,3.0665673479
20_5,3.0866361123
21_1,7.642739962299999
21_2,4.0020423966
21_3,1.87694093055
21_4,9.221983182399999
21_5,4.52937302285
22_1,14.58495945735
22_2,33.02739840695
22_3,2.5906440576
22_4,6.1732982327000006
22_5,8.00786709275
23_1,3.43061267595
23_2,3.4968836145999997
23_3,3.635776904
23_4,3.6951025434
23_5,3.5087847404
24_1,274.7440700797
24_2,280.27488936885004
24_3,288.26300652665
24_4,286.38679390195
24_5,275.93043848555
