,target
1_1,0.11707934675000001
1_2,0.0664099635
1_3,0.05731965025
1_4,0.08616018215
1_5,0.09873226115
2_1,210.31801929440002
2_2,338.5406410956
2_3,136.10329031244999
2_4,203.49469782879999
2_5,151.6973225419
3_1,14.089761492249998
3_2,12.4303460318
3_3,15.275317382499999
3_4,12.6022213187
3_5,12.50931995345
4_1,17.83927089955
4_2,24.08574503425
4_3,21.81897419885
4_4,16.8023198566
4_5,23.1658547415
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,6.80714992865
6_2,9.0680373379
6_3,6.7077084378
6_4,3.11795453745
6_5,4.5508087031999995
7_1,3.6349042258999997
7_2,1.66442255325
7_3,2.58596053145
7_4,2.275183747
7_5,3.44289795535
8_1,17.814961111800002
8_2,27.03252982865
8_3,15.3973608287
8_4,23.0662034975
8_5,16.7089862903
9_1,45.26304700535
9_2,24.5756429936
9_3,27.263033709200002
9_4,41.18876323575
9_5,49.469850690499996
10_1,4824.97651926115
10_2,2362.26029724205
10_3,3247.4179644245496
10_4,2826.2862064706997
10_5,2372.48870359525
11_1,19.9958122684
11_2,45.46728128905
11_3,25.7847855865
11_4,36.71178097935
11_5,24.73996910335
12_1,53849.34829937066
12_2,66757.65712176295
12_3,61771.982641402356
12_4,84143.55799870321
12_5,126664.252170035
13_1,72.54243813895
13_2,63.668158252599994
13_3,52.109742656150004
13_4,80.69746831165
13_5,76.69211142124999
14_1,0.26119139865
14_2,0.1270092917
14_3,0.32457471295
14_4,0.25845555545
14_5,0.14874237915
15_1,14.474051960099999
15_2,20.62693013745
15_3,22.46907916885
15_4,18.3477939538
15_5,18.4394841994
16_1,4.949393163
16_2,3.60000104645
16_3,4.4627291234
16_4,4.1174690263
16_5,5.432106222650001
17_1,1.2169727517500002
17_2,1.5280219282999998
17_3,0.9277274752
17_4,0.93179115045
17_5,1.3834094237999999
18_1,5.3566188389
18_2,5.487388489400001
18_3,4.32284518405
18_4,3.8847448017
18_5,5.54647366855
19_1,1.50869754965
19_2,1.6527095956
19_3,2.0860596008499996
19_4,2.03989498045
19_5,1.91232846115
20_1,1.9285012321
20_2,1.90774552255
20_3,2.0517591445
20_4,1.98066178225
20_5,1.9377224100000001
21_1,2.7956747346
21_2,2.5289133806499997
21_3,2.3129303944
21_4,2.59589581575
21_5,1.2968338791
22_1,1.95789100765
22_2,2.0016554421499997
22_3,1.0770178925999998
22_4,1.9800013417
22_5,2.0317912491500003
23_1,1.6227798647
23_2,1.5368310301
23_3,1.6894246218500002
23_4,1.58966168745
23_5,1.4964718156
24_1,21.7782886181
24_2,24.03783349305
24_3,20.845766265
24_4,22.899875855799998
24_5,25.64892200645
