,target
1_1,2.56914368
1_2,3.52580928
1_3,2.43487872
1_4,2.3614035199999996
1_5,0.95994368
2_1,34821.381839073845
2_2,25590.299289395
2_3,29439.137659771703
2_4,43922.49417060485
2_5,2170.23012274025
3_1,115.87052447195
3_2,123.90883275595
3_3,130.1819927335
3_4,119.51333376445001
3_5,130.12713220749998
4_1,111.6113432498
4_2,96.78965085819999
4_3,92.93814374995
4_4,90.37451773219999
4_5,130.52437285694998
5_1,0.0
5_2,0.0
5_3,5.0
5_4,11.7210229753
5_5,0.0
6_1,158.01104139295
6_2,167.57584190005
6_3,219.23309300475
6_4,218.41946292075
6_5,155.41693832689998
7_1,34.30879774165
7_2,38.7797752226
7_3,17.103352179749997
7_4,54.33273886925
7_5,40.6003429806
8_1,19.7042991289
8_2,2425.9613349483498
8_3,123.25667280705
8_4,81.48251201045
8_5,17.72026218295
9_1,26.03588389755
9_2,25.221070215799998
9_3,25.100154115949998
9_4,27.5272934583
9_5,25.8505873767
10_1,50209.10312231965
10_2,50216.4013423581
10_3,65841.85021428695
10_4,62711.18405326785
10_5,91469.1993938062
11_1,246.5353217477
11_2,218.88516865769998
11_3,187.55692565844998
11_4,280.51626262474997
11_5,211.40734725869999
12_1,75.67245818734999
12_2,1932792.3149207048
12_3,3198645.69865205
12_4,39.51617080545
12_5,62.181253535950006
13_1,240.87797338284997
13_2,425.48647949365
13_3,97.0912953398
13_4,448.5858586953
13_5,191.4985248349
14_1,2.23062736035
14_2,0.96997025935
14_3,0.6663870161500001
14_4,1.988681028
14_5,0.9715987987000001
15_1,308.16068159135
15_2,242.4175151222
15_3,275.41815889894997
15_4,270.95797530665
15_5,332.9019319918
16_1,25.2191217259
16_2,26.13990874805
16_3,26.78320286385
16_4,26.74468184545
16_5,27.530609724050002
17_1,2.3725442352
17_2,2.86755533765
17_3,2.1583431502500003
17_4,1.81968293895
17_5,2.6796688832499997
18_1,6.97259453645
18_2,8.56777302395
18_3,9.91250828505
18_4,7.943644912750001
18_5,10.140012443749999
19_1,6.6053930886500005
19_2,6.536569995500001
19_3,6.53729611345
19_4,6.4780849328
19_5,6.394786636899999
20_1,1.18140947305
20_2,0.8623411851
20_3,0.8950592804999999
20_4,0.9411259315
20_5,1.0737033719
21_1,8.20999425265
21_2,9.960266554250001
21_3,7.0542437807
21_4,10.06349822865
21_5,5.3545333442
22_1,14.584841529
22_2,22.7431457013
22_3,4.53432525795
22_4,10.70760095635
22_5,8.9184453497
23_1,3.41579657185
23_2,3.1425090511000002
23_3,3.1702394469
23_4,3.2050724852999997
23_5,3.0676953363
24_1,276.34981713959996
24_2,269.0447401176
24_3,266.66992935845
24_4,274.33120162675
24_5,263.61534674965003
