,target
1_1,0.000106962
1_2,0.0001320868
1_3,7.54079e-05
1_4,8.4453e-05
1_5,9.23842e-05
2_1,0.9962357971
2_2,5.52037085515
2_3,10.77774798035
2_4,15.056490505300001
2_5,0.53159479165
3_1,32.97543060065
3_2,36.5080556679
3_3,44.928110855149995
3_4,34.7369989979
3_5,34.7445499519
4_1,50.82220644655
4_2,55.4542051675
4_3,54.42379398805
4_4,58.9509368965
4_5,57.2350759222
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,246.1191415678
6_2,214.9997567319
6_3,212.67584514474999
6_4,191.15803918835002
6_5,164.9445003949
7_1,56.3617733513
7_2,56.35269535145
7_3,35.885800553050004
7_4,42.491021837549994
7_5,42.96574494315
8_1,29.07392013205
8_2,28.4475964785
8_3,28.0885934442
8_4,27.794610015350003
8_5,27.216489005150002
9_1,266.4621515151
9_2,50.50706411145
9_3,40.2328802088
9_4,92.81834397825
9_5,92.7451947812
10_1,66313.1357729735
10_2,84071.56666288254
10_3,64354.77376463525
10_4,85303.46668275075
10_5,76163.5741141849
11_1,235.8446240847
11_2,282.0884037764
11_3,206.01019367395
11_4,207.2354479677
11_5,294.2654372115
12_1,2778.08996637355
12_2,3361.56322090485
12_3,2173.72529994285
12_4,2333.22866304655
12_5,5160.772810683449
13_1,72.21432785639999
13_2,66.2667133077
13_3,54.34981572615
13_4,48.7851887336
13_5,42.065424637700005
14_1,0.3507478492
14_2,0.057041906249999996
14_3,0.050588019
14_4,0.062446737749999995
14_5,0.35882424165
15_1,260.44900781745
15_2,261.50802267775
15_3,255.561984988
15_4,289.6589739899
15_5,268.03534897405
16_1,17.37796194385
16_2,18.9906808891
16_3,19.608895690700002
16_4,17.791674140300003
16_5,18.8362673822
17_1,4.7809698857
17_2,5.1408491982
17_3,3.7532368074
17_4,5.30782063715
17_5,4.15711296825
18_1,18.809100384799997
18_2,17.169410312
18_3,18.93260195745
18_4,17.1361015956
18_5,16.997837609450002
19_1,7.45525539425
19_2,8.24248060665
19_3,7.61828167945
19_4,7.8822847518
19_5,7.664634310349999
20_1,1.49335745675
20_2,1.5282165755500001
20_3,1.4550748574
20_4,1.5161639284500001
20_5,1.49049763315
21_1,6.8519231465
21_2,2.7283677336
21_3,5.9245293697
21_4,6.1478295376
21_5,3.22403135185
22_1,14.58497347745
22_2,1.961690652
22_3,4.05659034
22_4,4.88311857955
22_5,8.7487195929
23_1,3.139534582
23_2,3.64593492825
23_3,3.3652805700000004
23_4,3.7529516074
23_5,3.3257942918500003
24_1,325.18231501105
24_2,312.68027014165
24_3,312.918343573
24_4,309.7777978801
24_5,316.6420345058
