,target
1_1,0.0
1_2,0.0
1_3,0.0
1_4,0.0
1_5,0.0
2_1,3.10495e-06
2_2,0.000306332
2_3,2.0492749999999998e-05
2_4,4.63951e-05
2_5,2.602625e-05
3_1,52.17999153915
3_2,55.80082813075
3_3,49.9155390967
3_4,46.976285651050006
3_5,67.65812223645
4_1,70.65585433544999
4_2,67.65709712534999
4_3,85.07295196465
4_4,90.52949705764999
4_5,62.18492004585
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,103.22668145144999
6_2,72.1804371712
6_3,40.830124425600005
6_4,51.06447742355
6_5,60.1750852825
7_1,19.775548133450002
7_2,16.849435116549998
7_3,19.40241544165
7_4,19.4555666308
7_5,18.912605931850003
8_1,23.38178289425
8_2,24.7842086568
8_3,26.83091122935
8_4,22.9962338386
8_5,24.32570846985
9_1,27.2885391037
9_2,27.05240665665
9_3,27.86813778685
9_4,28.05975771315
9_5,28.766135502700003
10_1,17889.2261302064
10_2,17919.75484657125
10_3,14878.1013043719
10_4,15490.61729307145
10_5,20826.0725639968
11_1,173.3201691058
11_2,184.06319384789998
11_3,131.40700008585
11_4,115.37928646285
11_5,120.53256145104999
12_1,1.17749793875
12_2,14.913547764450001
12_3,29.97438800175
12_4,14.7392670997
12_5,5.36228192175
13_1,4.51632084655
13_2,4.61367601105
13_3,4.28052422545
13_4,2.8918811324
13_5,2.7751059279500003
14_1,0.0012277121
14_2,0.00174515245
14_3,0.0013311936
14_4,0.0012543043499999998
14_5,0.0014503651
15_1,102.02880998205
15_2,104.7755484921
15_3,117.67724249605
15_4,112.62295735085
15_5,127.59408008835
16_1,23.635582425750002
16_2,23.7230091061
16_3,23.381646350799997
16_4,16.916528420549998
16_5,23.360319790349998
17_1,1.1756074537
17_2,0.91152513195
17_3,0.9244389211999999
17_4,1.2334389784500002
17_5,1.4289813824
18_1,4.470947184450001
18_2,3.680493193
18_3,3.4024657832500003
18_4,3.3996859457
18_5,3.8557041325499997
19_1,6.075504957150001
19_2,6.05023641965
19_3,5.9158475696499995
19_4,6.05619995445
19_5,6.060652965
20_1,1.57640924295
20_2,1.4215048617
20_3,1.4280832302
20_4,1.3226302874
20_5,1.4840170290499999
21_1,2.64422025775
21_2,2.0436612846999997
21_3,3.59334799345
21_4,5.2628036692
21_5,2.08114801835
22_1,8.587862319500001
22_2,1.9549988778
22_3,6.8580830964
22_4,9.82378949275
22_5,7.2716291936
23_1,2.9206300677500003
23_2,3.22594700465
23_3,3.2263517447499996
23_4,3.2275582527499997
23_5,2.848480583
24_1,245.57576489575
24_2,244.3501552019
24_3,248.13345591015
24_4,250.30060224665
24_5,236.8646384411
