,target
1_1,6.1809238351
1_2,4.87010636085
1_3,6.151876354800001
1_4,5.18618178475
1_5,7.23772950265
2_1,3317.5159747152
2_2,4159.488880696001
2_3,3736.16579559685
2_4,4318.9413835703
2_5,2966.01789285235
3_1,172.61326129665
3_2,176.94325098405
3_3,154.7782740128
3_4,170.67036046325
3_5,171.7036211939
4_1,253.49670372424998
4_2,282.37140355445
4_3,270.18199924789997
4_4,278.95517754235
4_5,280.372675388
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,452.6497564143
6_2,445.5473257748
6_3,422.64693953955
6_4,358.56895631085
6_5,340.73393312615
7_1,219.375945119
7_2,254.70761369585
7_3,267.01447031575003
7_4,284.96951624515
7_5,272.99909240195
8_1,3058.5716493703
8_2,2614.04433177835
8_3,2286.378948933
8_4,2577.4251948497003
8_5,3714.9129203534003
9_1,12956.94978605405
9_2,12846.993453710049
9_3,15833.381202005501
9_4,13481.5957493411
9_5,11534.5622101931
10_1,555738.2327205355
10_2,561156.3855861335
10_3,544600.8065101365
10_4,588797.6270150496
10_5,636807.383408672
11_1,339.40497433115
11_2,332.27373368495
11_3,339.0701657985
11_4,341.1992963421
11_5,311.79167885080005
12_1,21712834.66107555
12_2,13328774.06077645
12_3,7914231.065043045
12_4,13107603.4170333
12_5,18685967.93573495
13_1,737.6763424355499
13_2,603.1313963903999
13_3,629.3910337302
13_4,784.3672929775
13_5,819.67391662985
14_1,13.4954111022
14_2,15.1849807079
14_3,16.868762473049998
14_4,16.09191345755
14_5,11.58886894145
15_1,358.2900896602
15_2,379.64073367485
15_3,385.15956986715
15_4,374.08918932694996
15_5,370.90090472085
16_1,24.522604394200002
16_2,25.5207466567
16_3,23.91933570445
16_4,25.033065165
16_5,23.572849114500002
17_1,6.7321905816
17_2,6.937672136350001
17_3,5.4552580216
17_4,7.17653798935
17_5,5.4629992408
18_1,25.084127307750002
18_2,26.1289348913
18_3,20.10064567885
18_4,26.36950058905
18_5,19.2947611954
19_1,10.090264011399999
19_2,9.6073932177
19_3,9.9748478811
19_4,9.999563263550002
19_5,9.70460546045
20_1,480.4316697687
20_2,517.4325083123
20_3,926.5278230847
20_4,610.3613028213
20_5,697.6907427845499
21_1,15.8219692812
21_2,14.39318975495
21_3,22.013630504349997
21_4,27.5893187634
21_5,22.5498686142
22_1,5.83469224225
22_2,4.2418907648
22_3,5.67661445415
22_4,6.6075333788
22_5,9.727487738499999
23_1,3.0561709129
23_2,2.9714351212
23_3,3.0578502383500004
23_4,3.0059058522
23_5,3.01261659855
24_1,393.3039414024
24_2,400.2581961074
24_3,406.20495820175
24_4,397.46688501085
24_5,389.8476807172
