,target
1_1,89.89489951990001
1_2,78.5277037459
1_3,80.09317792245
1_4,76.4155018326
1_5,83.970574152
2_1,1803435.856315555
2_2,1691540.9398121252
2_3,1537720.87201824
2_4,1831380.746537525
2_5,1307576.0807256252
3_1,625.7772347074
3_2,611.60347741645
3_3,625.05187476375
3_4,658.07327751455
3_5,608.8699938141
4_1,901.6547010973
4_2,858.2014210044
4_3,887.0460661674999
4_4,924.3769278661
4_5,920.7840142856501
5_1,117.05732558215
5_2,123.8970676495
5_3,134.876103432
5_4,140.02842349455
5_5,120.86010125620001
6_1,98367.30998455235
6_2,11372.98826030955
6_3,27888.188132199248
6_4,38329.65968605325
6_5,33916.04943057285
7_1,514.5425169308
7_2,496.297687514
7_3,367.13078447325
7_4,464.9435813182
7_5,432.57560147925
8_1,62751.89763263185
8_2,58682.6578306834
8_3,65486.6187468044
8_4,63242.531890866056
8_5,52258.04049669445
9_1,59260.77766240125
9_2,58870.4414907903
9_3,48663.228026847355
9_4,52764.985724840604
9_5,54158.22776076615
10_1,1155290.06260385
10_2,974818.406468298
10_3,1156592.51120139
10_4,969974.1089603954
10_5,983069.44432613
11_1,248.39799387965002
11_2,289.5416677807
11_3,271.9414543932
11_4,275.75875298805
11_5,309.30462769254996
12_1,117603066.933511
12_2,124987151.4811825
12_3,141651927.77249902
12_4,127689083.241871
12_5,110810026.8780505
13_1,1784.15419888735
13_2,1739.72580977415
13_3,1645.69665588105
13_4,1755.08882747175
13_5,1724.41103661785
14_1,27.238538140499998
14_2,27.44931297005
14_3,27.1628958093
14_4,27.20558643845
14_5,26.95188811405
15_1,672.8794634248
15_2,681.7336113724
15_3,652.31489219175
15_4,661.4168763939
15_5,644.08936193215
16_1,27.3402289514
16_2,29.6104316283
16_3,28.95638197825
16_4,27.815601009250003
16_5,29.37375279585
17_1,10.256256009800001
17_2,10.204693998149999
17_3,10.32752934115
17_4,10.01462599325
17_5,10.6656589781
18_1,35.3682932946
18_2,36.64131312345
18_3,40.7408042177
18_4,36.74231995775
18_5,41.97826421625
19_1,15.7741417322
19_2,14.69851613525
19_3,13.831354635899999
19_4,14.46088649315
19_5,14.25245034105
20_1,21841.3807976473
20_2,27584.726112236
20_3,24971.139480860198
20_4,21582.85380584745
20_5,22000.29053340275
21_1,69.4576946345
21_2,71.15908720125
21_3,70.3793929424
21_4,68.7477815265
21_5,69.72790404985
22_1,70.47736451239999
22_2,71.94749702805
22_3,70.9374635546
22_4,71.86714308135001
22_5,71.58271112599999
23_1,3.654072382
23_2,4.23747003585
23_3,4.01242552565
23_4,4.1212991626
23_5,3.9160086221499997
24_1,623.21668709325
24_2,589.830422158
24_3,608.04039450335
24_4,623.0963711623
24_5,606.01255317615
