,target
1_1,31.070402190899998
1_2,22.9239672274
1_3,27.806829680299998
1_4,29.4204434925
1_5,29.8851728111
2_1,76208.98622181315
2_2,92506.19722497415
2_3,80875.24442581265
2_4,76324.47405425145
2_5,84932.54371309695
3_1,368.70630990885
3_2,381.07715992885
3_3,356.8450616125
3_4,381.49740578795
3_5,356.58439208125003
4_1,626.1109432103999
4_2,626.3983654018
4_3,661.5862680269499
4_4,657.99952427015
4_5,654.7686077845001
5_1,18.19804018005
5_2,17.353634233
5_3,17.2634268726
5_4,15.9918064024
5_5,14.90966005985
6_1,8286.63806828165
6_2,527.33890957015
6_3,577.5009922783499
6_4,447.40873853605
6_5,403.85746446115
7_1,304.21818658949996
7_2,331.54346509675
7_3,288.99769781465
7_4,260.27573785935
7_5,306.3320292871
8_1,15687.81708659005
8_2,13271.5473245134
8_3,16079.968227577901
8_4,13071.34173430485
8_5,14021.646540014
9_1,21685.435012066053
9_2,22575.056392979997
9_3,22497.2945605791
9_4,22223.21418152185
9_5,22950.18806826505
10_1,1081453.6069326098
10_2,932314.981037902
10_3,1005368.3627962735
10_4,1023715.556112305
10_5,1010929.8479665935
11_1,341.34233096699995
11_2,371.9789104483
11_3,343.01409188625
11_4,331.3286407188
11_5,362.40778016474997
12_1,56603296.86793575
12_2,38841855.9221754
12_3,41790075.405214354
12_4,53676751.9911386
12_5,58754039.21583295
13_1,1062.53500091525
13_2,951.0409347631501
13_3,1005.40609503175
13_4,1117.6554485432
13_5,1106.01147385705
14_1,15.096736949450001
14_2,18.2127357313
14_3,18.5083144524
14_4,16.9724139818
14_5,16.1841128183
15_1,438.28492407019996
15_2,441.91007858235
15_3,422.63909181375004
15_4,409.42183555024997
15_5,434.04317412895
16_1,29.5675791377
16_2,30.656369802500002
16_3,31.2354875713
16_4,30.53841484575
16_5,30.287295153549998
17_1,8.090757784400001
17_2,7.29668783985
17_3,7.440983955
17_4,7.9651738529
17_5,6.09238738875
18_1,28.9756449972
18_2,29.27511537415
18_3,28.155780630549998
18_4,30.549843808600002
18_5,23.22546779615
19_1,11.546027386150001
19_2,10.99029278225
19_3,11.29780959785
19_4,9.81624047245
19_5,11.7939777697
20_1,4339.99849507615
20_2,3652.08243227655
20_3,4539.1264853351
20_4,6452.9646240365
20_5,5564.92331902545
21_1,60.3082237287
21_2,55.1251473246
21_3,64.2719949849
21_4,59.93701826755
21_5,60.8719386459
22_1,34.633613877049996
22_2,26.44320834895
22_3,39.838773730499994
22_4,41.5390499466
22_5,42.106417118349995
23_1,3.6784086638
23_2,3.6695455887
23_3,3.4136461392
23_4,3.6406877186999997
23_5,3.9911251164
24_1,466.70873397455
24_2,449.76050295275
24_3,467.62453734275005
24_4,456.8505587706
24_5,452.27401579084994
