level_0,level_1,level_2,individual importance,total importance,individual std,total std,label
mutation_n_comps,crossover,adaptation_method,0.0015947786797400223,0.3656328253233192,0.002379370668432488,0.16326261543984882,triple
mutation_reference,use_archive,lpsr,0.0015135804356317586,0.21575288112157304,0.0034661742817731155,0.20110625852136613,triple
use_archive,crossover,adaptation_method,0.0012753870167260754,0.35854586689918405,0.0032782144166534507,0.1751807905741406,triple
mutation_n_comps,use_archive,,0.001272861908193356,0.02040000461795152,0.00318866580268919,0.037114892355164235,pairwise
mutation_reference,use_archive,adaptation_method,0.0012218876514404758,0.08396175850277764,0.0016599386317337778,0.06143834426982031,triple
use_archive,adaptation_method,lpsr,0.001024966737862671,0.24593420131881963,0.0019444631074992708,0.17773792141807673,triple
mutation_reference,use_archive,crossover,0.0007628857605200366,0.31173782118243265,0.0008107607952710522,0.1897073204130483,triple
mutation_base,mutation_n_comps,use_archive,0.0007516336007641162,0.07582202146402375,0.0015753025541871686,0.06967956355179562,triple
mutation_reference,mutation_n_comps,use_archive,0.000617119720462155,0.04547166901332835,0.0007292284389213625,0.04927448658506491,triple
mutation_n_comps,use_archive,adaptation_method,0.0005604142664399895,0.07463628100795357,0.0008198815164209452,0.06425602315117317,triple
mutation_n_comps,use_archive,lpsr,0.0005416590142677453,0.20248614220109817,0.0010629041915438992,0.19287288667693392,triple
mutation_n_comps,use_archive,crossover,0.0004217158408947559,0.30235346247911793,0.0008072770446376001,0.1805718906728237,triple
