index,target
1_1,3.4743561413057646e-10
1_2,2.6057671062399e-10
1_3,2.6057671062399e-10
1_4,2.6057671062399e-10
1_5,2.6057671062399e-10
2_1,3.4743561413057646e-10
2_2,3.2572088825555847e-10
2_3,1.520030812163279e-10
2_4,2.1714725886418237e-10
2_5,3.4743561413057646e-10
3_1,0.6004149393710901
3_2,0.6004149393710901
3_3,0.47565929435355436
3_4,0.47565929434629173
3_5,0.47565929433176646
4_1,0.9011698781958267
4_2,0.9011698830814778
4_3,0.9011698781712895
4_4,0.843217212845045
4_5,0.8731594604878873
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,4.1257979174911604e-10
6_2,3.4743561413057646e-10
6_3,3.2572088825555847e-10
6_4,3.9086506587735527e-10
6_5,4.1257979174911604e-10
7_1,0.1638805590088624
7_2,0.004301469180415141
7_3,0.13963391270226264
7_4,0.0
7_5,0.12997373392330858
8_1,3.9086506587735527e-10
8_2,2.3886198474462907e-10
8_3,3.4743561413057646e-10
8_4,2.8229143650226525e-10
8_5,2.8229143650226525e-10
9_1,3.040061623794547e-10
9_2,3.040061623794547e-10
9_3,3.4743561413057646e-10
9_4,3.2572088825555847e-10
9_5,2.1714725886418237e-10
10_1,3.040061623794547e-10
10_2,2.8229143650226525e-10
10_3,3.040061623794547e-10
10_4,3.2572088825555847e-10
10_5,3.4743561413057646e-10
11_1,3.040061623794547e-10
11_2,3.040061623794547e-10
11_3,3.2572088825555847e-10
11_4,3.040061623794547e-10
11_5,2.6057671062399e-10
12_1,2.0542128472076413e-08
12_2,3.2572088825555847e-10
12_3,2.6070689920541093e-07
12_4,2.3886198474462907e-10
12_5,3.4743561413057646e-10
13_1,9.337331261655891e-09
13_2,7.0355705533738006e-09
13_3,2.9782503486881992e-05
13_4,2.431210174276388e-05
13_5,7.165858574070184e-10
14_1,3.9086506587735527e-10
14_2,3.9086506587735527e-10
14_3,3.9086506587735527e-10
14_4,3.9086506587735527e-10
14_5,4.1257979174911604e-10
15_1,0.47565930001115747
15_2,0.47565929433176646
15_3,0.47565944909151425
15_4,0.4756594616704167
15_5,0.6004149393710901
16_1,0.2104483404228655
16_2,0.2347031260976467
16_3,0.290646825310693
16_4,0.20513333787455668
16_5,0.3039175074634998
17_1,0.007861450155893363
17_2,0.0003202500979161997
17_3,0.011092373158367391
17_4,0.009775416679566386
17_5,0.0002592138046680993
18_1,0.02493415706746146
18_2,0.0356204008773006
18_3,0.14991081682295862
18_4,0.0806326730852173
18_5,0.014598771374161473
19_1,0.07101300818998747
19_2,0.03286661561664051
19_3,0.03689336755698027
19_4,0.03213794589075557
19_5,0.043456332188615825
20_1,0.4530426119006623
20_2,0.4098830222663781
20_3,0.4718207831442459
20_4,0.4558434684093964
20_5,0.4836926473687477
21_1,0.3512657757425646
21_2,0.4476261001300763
21_3,1.520030812163279e-10
21_4,0.3512657757425646
21_5,0.3512657757425646
22_1,1.9543253298264994e-10
22_2,0.4705573175986778
22_3,0.08677016665194581
22_4,0.5263951685658866
22_5,0.22836372810198372
23_1,0.19209091457993996
23_2,0.16343742317210538
23_3,0.13123420362242033
23_4,0.15057346069195424
23_5,0.0926529941208154
24_1,0.8765296442272085
24_2,0.6851159368526949
24_3,0.669581997243892
24_4,0.9037231815955297
24_5,0.7139877367488464
