index,target
1_1,3.040061623794547e-10
1_2,2.3886198474462907e-10
1_3,3.040061623794547e-10
1_4,3.4743561413057646e-10
1_5,3.2572088825555847e-10
2_1,1.0786524952950253e-05
2_2,4.004893243234578e-06
2_3,9.473003186851691e-05
2_4,4.4446832009594156e-05
2_5,2.4094808164048973e-06
3_1,1.0550509696159207
3_2,0.998024749001614
3_3,1.019203596337587
3_4,1.174042694085051
3_5,0.7774315382942575
4_1,1.0791404582853354
4_2,1.0393970800990533
4_3,1.2219358606964037
4_4,1.185675444966268
4_5,1.1283008763786235
5_1,0.0
5_2,0.0
5_3,0.0
5_4,0.0
5_5,0.0
6_1,3.4743561413057646e-10
6_2,2.6057671062399e-10
6_3,3.6915034000450873e-10
6_4,3.4743561413057646e-10
6_5,3.6915034000450873e-10
7_1,0.16620497028619657
7_2,0.05329094608163587
7_3,0.13985759364256897
7_4,0.05056021369756776
7_5,0.12853354581921125
8_1,1.8474883325895283e-07
8_2,0.4887566240267141
8_3,0.0009845200089179428
8_4,5.953521824304571e-07
8_5,0.03597235396732633
9_1,1.7560010433108188e-06
9_2,9.46761961418623e-09
9_3,1.942486299777217e-06
9_4,1.6286043424021392e-09
9_5,9.971330262977365e-06
10_1,5.766480417947403e-06
10_2,0.0004848790226839586
10_3,1.1317653587758274e-05
10_4,0.05115300592303138
10_5,0.0005437278735352917
11_1,0.19268179072530542
11_2,0.20398677866154472
11_3,0.32310101842456523
11_4,0.26001378259001356
11_5,0.19916643471919163
12_1,0.3118295212322761
12_2,5.962862828743633e-08
12_3,0.747793090097328
12_4,4.5531409611943477e-07
12_5,0.0002994879432620891
13_1,0.05786724367286226
13_2,0.000939525082465472
13_3,0.15609891987123128
13_4,0.0023758935242270012
13_5,0.0004168010226808786
14_1,8.239644241551747e-07
14_2,4.755956267263327e-07
14_3,4.431755779630392e-07
14_4,1.8883119968149601e-07
14_5,3.1295249085612006e-07
15_1,0.9011698781685631
15_2,0.8110566111804216
15_3,1.2369803679893199
15_4,1.2766942643634334
15_5,1.077169321294537
16_1,0.41710748727813796
16_2,0.10398511241088443
16_3,0.09812906681207102
16_4,0.03390893504497651
16_5,0.2079375196490578
17_1,0.015435457154693666
17_2,0.013686670460151179
17_3,0.17556788026392406
17_4,0.061131583326262506
17_5,0.0013634121574319044
18_1,0.0804252007728953
18_2,0.026927626879263204
18_3,0.16075694894735332
18_4,0.08170811553151339
18_5,0.24354830098444766
19_1,0.324289046273631
19_2,0.21056381665959298
19_3,0.41499959593609864
19_4,0.3182791000838024
19_5,0.33471592887439744
20_1,0.3432390560726231
20_2,0.418204272954322
20_3,0.4148797936697688
20_4,0.31929731160132185
20_5,0.38406722687713757
21_1,0.3512657757425646
21_2,0.5461595894243937
21_3,3.4743561413057646e-10
21_4,0.3512657757425646
21_5,0.3512657757425646
22_1,0.5885290897196375
22_2,0.514915922745415
22_3,1.0652027526387018
22_4,0.9123260591510471
22_5,0.22836362979990393
23_1,0.5456530190777177
23_2,0.49973876818622126
23_3,0.33788102849355695
23_4,0.4774722281600467
23_5,0.405967778036907
24_1,1.1945703114986626
24_2,1.2066737252011548
24_3,1.163864696766509
24_4,1.2304372692070302
24_5,1.1855396965182616
